2018-01-17,11,18,2
2018-02-06,11,16,2
2018-02-07,11,16,2
2018-03-12,13,16,1
2018-03-13,13,16,1
2018-04-21,13,16,1
2018-05-11,9,16,1
2018-06-06,8,14,2
2018-07-21,12,18,2
2018-08-04,8,14,2
2018-09-16,11,15,1
2018-10-07,8,15,2
2018-11-18,12,15,2
2018-12-14,9,16,1
2019-01-13,13,19,2
2019-02-26,11,17,1
2019-02-27,11,17,1
2019-03-14,13,18,1
2019-04-26,10,15,1
2019-05-27,11,14,1
2019-06-16,10,15,2
2019-06-17,10,15,2
2019-07-20,13,17,1
2019-08-06,13,18,2
2019-08-07,13,18,2
2019-09-01,11,15,2
2019-10-25,11,14,1
2019-11-26,10,17,1
2019-12-26,11,17,2
2019-12-27,11,17,2
2020-01-18,10,13,2
2020-01-19,10,13,2
2020-02-10,9,16,1
2020-03-27,9,16,2
2020-03-28,9,16,2
2020-04-21,11,14,1
2020-04-22,11,14,1
2020-05-18,13,20,1
2020-05-19,13,20,1
2020-06-15,13,15,1
2020-07-18,13,17,2
2020-07-19,13,17,2
2020-08-27,12,15,2
2020-08-28,12,15,2
2020-09-10,9,11,1
2020-09-11,9,11,1
2020-10-13,8,11,1
2020-11-27,9,15,2
2020-11-28,9,15,2
2020-12-25,9,15,2
2021-01-14,10,12,2
2021-02-20,8,14,1
2021-02-21,8,14,1
2021-03-10,11,14,1
2021-04-14,12,16,1
2021-04-15,12,16,1
2021-05-18,8,15,1
2021-06-07,11,17,1
2021-06-08,11,17,1
2021-07-11,10,12,2
2021-08-19,8,13,1
2021-09-17,9,12,1
2021-09-18,9,12,1
2021-10-10,12,17,1
2021-11-18,11,14,1
2021-11-19,11,14,1
2021-12-22,8,10,2
2021-12-23,8,10,2
2022-01-23,12,17,1
2022-02-19,10,17,2
2022-02-20,10,17,2
2022-03-20,13,19,1
2022-03-21,13,19,1
2022-04-08,10,14,2
2022-05-17,8,11,1
2022-05-18,8,11,1
2022-06-15,8,10,1
2022-07-24,8,13,2
2022-07-25,8,13,2
2022-08-01,12,16,1
2022-09-07,8,15,2
2022-09-08,8,15,2
2022-10-02,9,12,2
2022-10-03,9,12,2
2022-11-09,13,17,2
2022-12-18,10,16,1
