2018-01-01,12,20,1
2018-01-02,1,11,2
2018-02-10,20,24,2
2018-02-27,14,18,1
2018-03-15,11,13,1
2018-03-22,14,17,2
2018-04-13,9,12,2
2018-05-07,10,13,1
2018-06-14,16,20,2
2018-07-12,22,2,2
2018-07-13,22,2,2
2018-07-25,19,23,1
2018-08-27,12,16,1
2018-09-01,9,12,2
2018-09-22,22,24,1
2018-10-23,8,11,1
2018-11-12,12,16,1
2018-11-25,9,12,2
2018-12-05,22,24,1
2018-12-31,21,23,2
2019-01-01,12,20,1
2019-01-12,1,11,2
2019-02-11,20,24,2
2019-02-25,14,18,1
2019-03-17,14,17,2
2019-03-14,9,12,2
2019-04-16,10,13,1
2019-05-09,16,20,2
2019-06-15,16,20,2
2019-07-10,22,2,2
2019-07-16,22,2,2
2019-07-23,19,23,1
2019-08-30,12,16,1
2019-09-04,9,12,2
2019-09-21,22,24,1
2019-10-29,8,11,1
2019-11-17,12,15,2
2019-11-21,10,13,1
2019-12-06,14,17,2
2019-12-31,21,23,2
2020-02-04,22,24,1
2020-02-14,8,11,1
2020-02-11,12,15,2
2020-03-21,10,13,1
2020-03-26,14,17,2
2020-04-03,21,23,2
2020-04-15,19,23,1
2020-05-19,12,16,1
2020-06-11,9,12,2
2020-07-13,22,24,1
2020-07-26,14,17,2
2020-07-29,21,23,2
2020-08-30,20,24,2
2020-09-07,14,18,1
2020-09-19,11,13,1
2020-10-20,14,17,2
2020-11-07,11,13,1
2020-11-10,14,17,2
2020-12-09,9,12,2
2020-12-27,22,24,1
2021-01-03,9,12,2
2021-01-10,22,24,1
2021-02-17,14,17,2
2021-02-22,19,23,1
2021-03-18,12,16,1
2021-03-19,14,17,2
2021-04-17,9,12,2
2021-05-03,14,18,1
2021-06-15,14,17,2
2021-07-06,21,23,2
2021-07-10,22,24,1
2021-07-27,12,15,2
2021-08-19,10,13,1
2021-09-03,1,11,2
2021-09-24,20,24,2
2021-10-01,22,24,1
2021-11-05,20,24,2
2021-11-21,12,16,1
2021-12-11,9,12,2
2021-12-31,19,23,1
2022-01-15,14,17,2
2022-01-19,21,23,2
2022-02-07,22,24,1
2022-02-13,8,11,1
2022-03-14,12,15,2
2022-03-15,10,13,1
2022-04-13,16,20,2
2022-05-09,16,20,2
2022-06-17,16,20,2
2022-07-03,22,2,2
2022-07-16,22,24,1
2022-07-25,22,24,1
2022-08-14,8,11,1
2022-09-06,12,15,2
2022-09-22,10,13,1
2022-10-28,22,2,2
2022-11-15,8,11,1
2022-11-21,12,15,2
2022-12-04,9,12,2
2022-12-31,10,13,1
